order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,customer_id,channel_id,store_id,order_date,billing_address_id,shipping_address_id,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount,order_date_key
5000000000,1000000000,2,2,15000.0,0.0,30000.0,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,20241126
5000000001,1000000000,1,2,12000.0,2400.0,21600.0,356,1,,2024-11-26 07:50:47,2910.0,1595,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0,20241126
5000000002,1000000001,1,1,12000.0,240.0,11760.0,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,20240131
5000000003,1000000001,2,2,15000.0,600.0,29400.0,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,20240131
5000000004,1000000001,1,2,12600.0,2520.0,22680.0,601,1,,2024-01-31 01:00:04,3803.0,3534,CREATED,ARS,63840.0,13406.4,900.0,78146.4,20240131
5000000005,1000000002,1,1,12000.0,240.0,11760.0,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,20250226
5000000006,1000000002,2,1,15000.0,1500.0,13500.0,1234,1,,2025-02-26 19:39:44,1126.0,4063,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6,20250226
5000000007,1000000003,1,1,12000.0,1200.0,10800.0,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,20250301
5000000008,1000000003,2,1,15000.0,300.0,14700.0,156,1,,2025-03-01 17:35:36,3665.0,1507,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0,20250301
5000000009,1000000004,2,2,15750.0,1575.0,29925.0,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,20240330
5000000010,1000000004,2,1,15000.0,750.0,14250.0,616,2,4.0,2024-03-30 02:46:36,1293.0,4,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75,20240330
5000000011,1000000005,1,2,12000.0,0.0,24000.0,614,2,2.0,2024-03-12 20:54:35,1723.0,2,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0,20240312
5000000012,1000000006,2,1,15000.0,750.0,14250.0,188,1,,2025-07-15 22:55:56,1432.0,2148,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5,20250715
5000000013,1000000007,2,1,15000.0,1500.0,13500.0,17,1,,2024-11-11 20:15:00,,3577,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,20241111
5000000014,1000000008,1,3,12000.0,0.0,36000.0,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,20240825
5000000015,1000000008,2,3,15000.0,4500.0,40500.0,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,20240825
5000000016,1000000008,1,1,12600.0,0.0,12600.0,1148,1,,2024-08-25 03:29:28,2018.0,1490,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0,20240825
5000000017,1000000009,2,1,13500.0,675.0,12825.0,1037,1,,2024-03-30 10:34:46,1097.0,1974,PAID,ARS,12825.0,2693.25,1200.0,16718.25,20240330
5000000018,1000000010,2,1,15000.0,300.0,14700.0,1336,2,1.0,2024-03-13 02:19:39,,1,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0,20240313
5000000019,1000000011,2,1,15000.0,300.0,14700.0,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,20250617
5000000020,1000000011,1,2,10800.0,2160.0,19440.0,1239,2,4.0,2025-06-17 03:46:29,2159.0,4,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4,20250617
5000000021,1000000012,1,3,12000.0,720.0,35280.0,1426,2,3.0,2024-08-09 14:38:29,3389.0,3,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8,20240809
5000000022,1000000013,2,3,15750.0,2362.5,44887.5,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,20250323
5000000023,1000000013,1,3,12000.0,1800.0,34200.0,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,20250323
5000000024,1000000013,1,2,12000.0,1200.0,22800.0,862,2,1.0,2025-03-23 11:26:14,1342.0,1,PAID,ARS,101887.5,21396.38,0.0,123283.88,20250323
5000000025,1000000014,1,1,12000.0,240.0,11760.0,181,1,,2025-08-18 12:46:12,2238.0,3917,PAID,ARS,11760.0,2469.6,900.0,15129.6,20250818
5000000026,1000000015,1,2,12000.0,480.0,23520.0,700,1,,2024-09-15 12:43:40,3268.0,1803,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2,20240915
5000000027,1000000016,1,2,12600.0,2520.0,22680.0,475,1,,2025-08-27 22:46:32,1585.0,3558,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8,20250827
5000000028,1000000017,2,2,15750.0,630.0,30870.0,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,20250219
5000000029,1000000017,1,3,12000.0,0.0,36000.0,753,2,2.0,2025-02-19 14:36:04,3052.0,2,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7,20250219
5000000030,1000000018,2,1,13500.0,270.0,13230.0,1151,1,,2024-07-14 15:20:18,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9,20240714
5000000031,1000000018,1,2,13200.0,2640.0,23760.0,1151,1,,2024-07-14 15:20:18,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9,20240714
5000000032,1000000018,2,3,15000.0,0.0,45000.0,1151,1,,2024-07-14 15:20:18,2712.0,2691,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9,20240714
5000000033,1000000019,1,3,12600.0,756.0,37044.0,793,1,,2025-04-21 04:12:18,2523.0,3612,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24,20250421
5000000034,1000000020,2,3,16500.0,0.0,49500.0,866,1,,2024-05-06 01:36:24,3933.0,3374,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0,20240506
5000000035,1000000021,1,2,12000.0,480.0,23520.0,1110,1,,2025-09-23 22:05:51,3246.0,2545,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2,20250923
5000000036,1000000022,1,2,12000.0,0.0,24000.0,854,2,1.0,2024-03-31 02:16:34,2462.0,1,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0,20240331
5000000037,1000000023,2,2,15000.0,600.0,29400.0,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,20250705
5000000038,1000000023,1,1,12000.0,0.0,12000.0,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,20250705
5000000039,1000000023,2,2,15000.0,3000.0,27000.0,379,2,3.0,2025-07-05 19:42:57,3098.0,3,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0,20250705
5000000040,1000000024,1,1,12000.0,240.0,11760.0,441,2,2.0,2025-03-02 15:57:05,1528.0,2,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6,20250302
5000000041,1000000025,2,3,15750.0,2362.5,44887.5,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,20250826
5000000042,1000000025,1,2,12600.0,0.0,25200.0,125,1,,2025-08-26 06:57:45,2981.0,1512,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88,20250826
5000000043,1000000026,2,1,15000.0,1500.0,13500.0,1201,1,,2024-12-12 23:59:48,4164.0,1297,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0,20241212
5000000044,1000000027,1,2,12000.0,1200.0,22800.0,1055,1,,2024-12-02 01:44:59,3321.0,2858,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0,20241202
5000000045,1000000028,1,1,12000.0,0.0,12000.0,382,1,,2024-05-17 06:11:07,1338.0,2419,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0,20240517
5000000046,1000000029,2,2,16500.0,660.0,32340.0,1456,1,,2025-09-14 02:43:49,1410.0,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4,20250914
5000000047,1000000029,1,3,12000.0,3600.0,32400.0,1456,1,,2025-09-14 02:43:49,1410.0,2421,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4,20250914
5000000048,1000000030,1,3,12000.0,1800.0,34200.0,1377,2,4.0,2025-06-09 19:02:55,3581.0,4,PAID,ARS,34200.0,7182.0,0.0,41382.0,20250609
5000000049,1000000031,1,2,12000.0,480.0,23520.0,1375,2,4.0,2025-05-10 11:15:07,1924.0,4,PAID,ARS,23520.0,4939.2,0.0,28459.2,20250510
5000000050,1000000032,2,2,15000.0,3000.0,27000.0,821,1,,2025-03-15 14:37:22,3181.0,1920,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0,20250315
5000000051,1000000033,2,1,15000.0,300.0,14700.0,1475,2,4.0,2024-06-08 03:23:04,3312.0,4,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0,20240608
